vcf,sample,status,src
LP6005592-DNA_B01.annotated.nh.vcf.gz,LP6005592-DNA_B01, OK,LP6005592-DNA_B01.vfy
LP6005592-DNA_B02.annotated.nh.vcf.gz,LP6005592-DNA_B02, OK,LP6005592-DNA_B02.vfy
LP6005592-DNA_B03.annotated.nh.vcf.gz,LP6005592-DNA_B03, OK,LP6005592-DNA_B03.vfy
LP6005592-DNA_B04.annotated.nh.vcf.gz,LP6005592-DNA_B04, OK,LP6005592-DNA_B04.vfy
LP6005592-DNA_C01.annotated.nh.vcf.gz,LP6005592-DNA_C01, OK,LP6005592-DNA_C01.vfy
LP6005592-DNA_C02.annotated.nh.vcf.gz,LP6005592-DNA_C02, OK,LP6005592-DNA_C02.vfy
LP6005592-DNA_C03.annotated.nh.vcf.gz,LP6005592-DNA_C03, OK,LP6005592-DNA_C03.vfy
LP6005592-DNA_C05.annotated.nh.vcf.gz,LP6005592-DNA_C05, OK,LP6005592-DNA_C05.vfy
LP6005592-DNA_D01.annotated.nh.vcf.gz,LP6005592-DNA_D01, OK,LP6005592-DNA_D01.vfy
LP6005592-DNA_D03.annotated.nh.vcf.gz,LP6005592-DNA_D03, OK,LP6005592-DNA_D03.vfy
LP6005592-DNA_D04.annotated.nh.vcf.gz,LP6005592-DNA_D04, OK,LP6005592-DNA_D04.vfy
LP6005592-DNA_E01.annotated.nh.vcf.gz,LP6005592-DNA_E01, OK,LP6005592-DNA_E01.vfy
LP6005592-DNA_E02.annotated.nh.vcf.gz,LP6005592-DNA_E02, OK,LP6005592-DNA_E02.vfy
LP6005592-DNA_F01.annotated.nh.vcf.gz,LP6005592-DNA_F01, OK,LP6005592-DNA_F01.vfy
LP6005592-DNA_F03.annotated.nh.vcf.gz,LP6005592-DNA_F03, OK,LP6005592-DNA_F03.vfy
LP6005592-DNA_G01.annotated.nh.vcf.gz,LP6005592-DNA_G01, OK,LP6005592-DNA_G01.vfy
LP6005592-DNA_G03.annotated.nh.vcf.gz,LP6005592-DNA_G03, OK,LP6005592-DNA_G03.vfy
LP6005592-DNA_H01.annotated.nh.vcf.gz,LP6005592-DNA_H01, OK,LP6005592-DNA_H01.vfy
LP6005592-DNA_H03.annotated.nh.vcf.gz,LP6005592-DNA_H03, OK,LP6005592-DNA_H03.vfy
LP6005619-DNA_B01.annotated.nh.vcf.gz,LP6005619-DNA_B01, OK,LP6005619-DNA_B01.vfy
LP6005619-DNA_C01.annotated.nh.vcf.gz,LP6005619-DNA_C01, OK,LP6005619-DNA_C01.vfy
LP6005677-DNA_A02.annotated.nh.vcf.gz,LP6005677-DNA_A02, OK,LP6005677-DNA_A02.vfy
LP6005677-DNA_A03.annotated.nh.vcf.gz,LP6005677-DNA_A03, OK,LP6005677-DNA_A03.vfy
LP6005677-DNA_B01.annotated.nh.vcf.gz,LP6005677-DNA_B01, OK,LP6005677-DNA_B01.vfy
LP6005677-DNA_B02.annotated.nh.vcf.gz,LP6005677-DNA_B02, OK,LP6005677-DNA_B02.vfy
LP6005677-DNA_C03.annotated.nh.vcf.gz,LP6005677-DNA_C03, OK,LP6005677-DNA_C03.vfy
LP6005677-DNA_D01.annotated.nh.vcf.gz,LP6005677-DNA_D01, OK,LP6005677-DNA_D01.vfy
LP6005677-DNA_D03.annotated.nh.vcf.gz,LP6005677-DNA_D03, OK,LP6005677-DNA_D03.vfy
LP6005677-DNA_E01.annotated.nh.vcf.gz,LP6005677-DNA_E01, OK,LP6005677-DNA_E01.vfy
LP6005677-DNA_F01.annotated.nh.vcf.gz,LP6005677-DNA_F01, OK,LP6005677-DNA_F01.vfy
LP6005677-DNA_G01.annotated.nh.vcf.gz,LP6005677-DNA_G01, OK,LP6005677-DNA_G01.vfy
LP6007068-DNA_A01.annotated.nh.vcf.gz,LP6007068-DNA_A01, OK,LP6007068-DNA_A01.vfy
LP6007069-DNA_A01.annotated.nh.vcf.gz,LP6007069-DNA_A01, OK,LP6007069-DNA_A01.vfy
SS6004467.annotated.nh.vcf.gz,SS6004467, OK,SS6004467.vfy
SS6004468.annotated.nh.vcf.gz,SS6004468, OK,SS6004468.vfy
SS6004469.annotated.nh.vcf.gz,SS6004469, OK,SS6004469.vfy
SS6004470.annotated.nh.vcf.gz,SS6004470, OK,SS6004470.vfy
SS6004471.annotated.nh.vcf.gz,SS6004471, OK,SS6004471.vfy
SS6004472.annotated.nh.vcf.gz,SS6004472, OK,SS6004472.vfy
SS6004473.annotated.nh.vcf.gz,SS6004473, OK,SS6004473.vfy
SS6004474.annotated.nh.vcf.gz,SS6004474, OK,SS6004474.vfy
SS6004475.annotated.nh.vcf.gz,SS6004475, OK,SS6004475.vfy
SS6004476.annotated.nh.vcf.gz,SS6004476, OK,SS6004476.vfy
SS6004477.annotated.nh.vcf.gz,SS6004477, OK,SS6004477.vfy
SS6004478.annotated.nh.vcf.gz,SS6004478, OK,SS6004478.vfy
SS6004479.annotated.nh.vcf.gz,SS6004479, OK,SS6004479.vfy
SS6004480.annotated.nh.vcf.gz,SS6004480, OK,SS6004480.vfy
