vcf,sample,status,src
LP6005441-DNA_F02.annotated.nh.vcf.gz,LP6005441-DNA_F02, OK,LP6005441-DNA_F02.vfy
LP6005441-DNA_F03.annotated.nh.vcf.gz,LP6005441-DNA_F03, OK,LP6005441-DNA_F03.vfy
LP6005441-DNA_F04.annotated.nh.vcf.gz,LP6005441-DNA_F04, OK,LP6005441-DNA_F04.vfy
LP6005441-DNA_F05.annotated.nh.vcf.gz,LP6005441-DNA_F05, OK,LP6005441-DNA_F05.vfy
LP6005441-DNA_F06.annotated.nh.vcf.gz,LP6005441-DNA_F06, OK,LP6005441-DNA_F06.vfy
LP6005441-DNA_F07.annotated.nh.vcf.gz,LP6005441-DNA_F07, OK,LP6005441-DNA_F07.vfy
LP6005441-DNA_F08.annotated.nh.vcf.gz,LP6005441-DNA_F08, OK,LP6005441-DNA_F08.vfy
LP6005441-DNA_F09.annotated.nh.vcf.gz,LP6005441-DNA_F09, OK,LP6005441-DNA_F09.vfy
LP6005441-DNA_F10.annotated.nh.vcf.gz,LP6005441-DNA_F10, OK,LP6005441-DNA_F10.vfy
LP6005441-DNA_F12.annotated.nh.vcf.gz,LP6005441-DNA_F12, OK,LP6005441-DNA_F12.vfy
LP6005441-DNA_G02.annotated.nh.vcf.gz,LP6005441-DNA_G02, OK,LP6005441-DNA_G02.vfy
LP6005441-DNA_G03.annotated.nh.vcf.gz,LP6005441-DNA_G03, OK,LP6005441-DNA_G03.vfy
LP6005441-DNA_G04.annotated.nh.vcf.gz,LP6005441-DNA_G04, OK,LP6005441-DNA_G04.vfy
LP6005441-DNA_G05.annotated.nh.vcf.gz,LP6005441-DNA_G05, OK,LP6005441-DNA_G05.vfy
LP6005441-DNA_G06.annotated.nh.vcf.gz,LP6005441-DNA_G06, OK,LP6005441-DNA_G06.vfy
LP6005441-DNA_G07.annotated.nh.vcf.gz,LP6005441-DNA_G07, OK,LP6005441-DNA_G07.vfy
LP6005441-DNA_G08.annotated.nh.vcf.gz,LP6005441-DNA_G08, OK,LP6005441-DNA_G08.vfy
LP6005441-DNA_G09.annotated.nh.vcf.gz,LP6005441-DNA_G09, OK,LP6005441-DNA_G09.vfy
LP6005441-DNA_G10.annotated.nh.vcf.gz,LP6005441-DNA_G10, OK,LP6005441-DNA_G10.vfy
LP6005441-DNA_G11.annotated.nh.vcf.gz,LP6005441-DNA_G11, OK,LP6005441-DNA_G11.vfy
LP6005441-DNA_G12.annotated.nh.vcf.gz,LP6005441-DNA_G12, OK,LP6005441-DNA_G12.vfy
LP6005441-DNA_H02.annotated.nh.vcf.gz,LP6005441-DNA_H02, OK,LP6005441-DNA_H02.vfy
LP6005441-DNA_H03.annotated.nh.vcf.gz,LP6005441-DNA_H03, OK,LP6005441-DNA_H03.vfy
LP6005441-DNA_H05.annotated.nh.vcf.gz,LP6005441-DNA_H05, OK,LP6005441-DNA_H05.vfy
LP6005441-DNA_H06.annotated.nh.vcf.gz,LP6005441-DNA_H06, OK,LP6005441-DNA_H06.vfy
LP6005441-DNA_H07.annotated.nh.vcf.gz,LP6005441-DNA_H07, OK,LP6005441-DNA_H07.vfy
LP6005441-DNA_H08.annotated.nh.vcf.gz,LP6005441-DNA_H08, OK,LP6005441-DNA_H08.vfy
LP6005441-DNA_H09.annotated.nh.vcf.gz,LP6005441-DNA_H09, OK,LP6005441-DNA_H09.vfy
